"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q17","TO-220AB-2","4381.89mil","2444.882mil","4440.945mil","2444.882mil","4440.945mil","2544.882mil","T","270.00","BIP373"
"Q18","TO-220AB-2","4381.89mil","1923.228mil","4440.945mil","1923.228mil","4440.945mil","2023.228mil","T","270.00","BIP373"
"R1","R0805","2141.733mil","4215.551mil","2141.732mil","4215.551mil","2104.331mil","4215.551mil","T","360.00","1k"
"R2","R0805","2454.725mil","4618.11mil","2454.725mil","4618.11mil","2417.323mil","4618.11mil","B","360.00","68k"
"R3","R0805","2472.441mil","4523.622mil","2472.441mil","4523.622mil","2509.843mil","4523.622mil","B","180.00","510"
"R4","R1206","3409.45mil","4588.583mil","3409.45mil","4588.583mil","3464.568mil","4588.583mil","T","180.00","1k"
"R5","R0805","3374.016mil","4791.339mil","3374.016mil","4791.339mil","3374.016mil","4753.937mil","T","90.00","160"
"R6","R0805","3984.252mil","4799.212mil","3984.252mil","4799.212mil","4021.654mil","4799.212mil","T","180.00","100k"
"R7","R0805","1822.835mil","1633.858mil","1822.835mil","1633.858mil","1822.835mil","1671.26mil","B","270.00","10k"
"R8","R0805","1685.039mil","1413.386mil","1685.039mil","1413.386mil","1722.441mil","1413.386mil","B","180.00","0"
"R9","R0805","2633.858mil","4502.953mil","2633.858mil","4502.953mil","2671.26mil","4502.953mil","T","180.00","10k"
"R10","R0805","2540.355mil","3303.15mil","2540.354mil","3303.15mil","2502.953mil","3303.15mil","B","360.00","10k"
"R12","R1206","2427.165mil","3250.001mil","2427.165mil","3250.001mil","2427.165mil","3305.119mil","B","270.00","120"
"R13","R0805","4220.472mil","4696.851mil","4220.472mil","4696.85mil","4220.472mil","4659.449mil","T","90.00","100k"
"R14","R0805","3574.803mil","4629.921mil","3574.803mil","4629.921mil","3537.401mil","4629.921mil","T","360.00","61.9"
"R15","R0805","4377.953mil","4503.937mil","4377.953mil","4503.937mil","4377.953mil","4541.339mil","T","270.00","1k"
"R16","R1206","2578.74mil","4562.992mil","2578.74mil","4562.992mil","2578.74mil","4507.874mil","B","90.00","0"
"R17","R0805","3582.677mil","4526.575mil","3582.677mil","4526.575mil","3545.276mil","4526.575mil","T","0.00","10k"
"R18","R0805","4244.094mil","4496.063mil","4244.095mil","4496.063mil","4281.496mil","4496.063mil","T","180.00","4.7k"
"R20","R0805","3582.678mil","4436.023mil","3582.677mil","4436.023mil","3545.276mil","4436.023mil","T","0.00","6.8k"
"R21","R0805","1141.732mil","1791.339mil","1141.732mil","1791.339mil","1141.732mil","1753.937mil","B","90.00","10k"
"R11","R0805","3163.386mil","4378.937mil","3163.386mil","4378.937mil","3163.386mil","4416.339mil","T","270.00","100"
"R22","R0805","3440.945mil","4437.007mil","3440.944mil","4437.007mil","3403.543mil","4437.007mil","T","0.00","6.8k"
"R23","R0805","1889.764mil","4578.74mil","1889.764mil","4578.74mil","1889.764mil","4616.142mil","B","270.00","68k"
"R24","R0805","1598.425mil","4551.182mil","1598.425mil","4551.181mil","1598.425mil","4513.78mil","B","90.00","10k"
"R25","R0805","1814.961mil","4578.74mil","1814.961mil","4578.74mil","1814.961mil","4616.142mil","B","270.00","5.1k"
"R26","R0805","4228.346mil","4322.834mil","4228.346mil","4322.835mil","4228.346mil","4360.236mil","T","270.00","10k"
"R27","R1206","2649.606mil","2472.441mil","2649.606mil","2472.441mil","2594.488mil","2472.441mil","B","360.00","330"
"R28","R1206","2724.409mil","1964.567mil","2724.409mil","1964.567mil","2669.291mil","1964.567mil","B","360.00","68k"
"R29","R0805","3401.575mil","4338.582mil","3401.575mil","4338.582mil","3364.173mil","4338.582mil","T","0.00","82.5"
"R30","R0805","3551.182mil","4283.464mil","3551.181mil","4283.464mil","3513.78mil","4283.464mil","T","0.00","10k"
"R31","R0805","2252.952mil","4728.346mil","2252.952mil","4728.346mil","2252.952mil","4765.748mil","B","270.00","10k"
"R32","R0805","1401.574mil","4149.606mil","1401.575mil","4149.606mil","1438.976mil","4149.606mil","B","180.00","470k"
"R33","R0805","3602.363mil","4114.173mil","3602.362mil","4114.173mil","3564.961mil","4114.173mil","T","360.00","1k"
"R34","R0805","3830.709mil","4799.212mil","3830.709mil","4799.212mil","3793.307mil","4799.212mil","T","0.00","470k"
"R35","R1206","2783.465mil","2440.945mil","2783.465mil","2440.945mil","2783.465mil","2496.063mil","B","270.00","330"
"R36","R1206","2724.409mil","2291.339mil","2724.409mil","2291.339mil","2779.528mil","2291.339mil","B","180.00","68k"
"R37","R0805","1488.189mil","3964.568mil","1488.189mil","3964.567mil","1488.189mil","3927.166mil","B","90.00","10k"
"R38","R0805","1602.362mil","3952.756mil","1602.362mil","3952.756mil","1639.764mil","3952.756mil","B","180.00","68k"
"R39","R0805","3425.197mil","3706.693mil","3425.197mil","3706.693mil","3387.795mil","3706.693mil","T","360.00","1k 0.1%"
"R40","R0805","3277.559mil","3706.693mil","3277.559mil","3706.693mil","3240.157mil","3706.693mil","T","360.00","1k 0.1%"
"R41","R0805","1779.527mil","3854.331mil","1779.528mil","3854.331mil","1816.929mil","3854.331mil","B","180.00","10k"
"R42","R0805","1696.85mil","4551.181mil","1696.85mil","4551.181mil","1696.85mil","4588.583mil","B","270.00","10k"
"R43","R0805","1763.78mil","3956.693mil","1763.78mil","3956.693mil","1763.78mil","3919.291mil","B","90.00","68k"
"R44","R0805","3834.646mil","3696.851mil","3834.646mil","3696.85mil","3834.646mil","3659.449mil","T","90.00","510k"
"R45","R0805","1456.693mil","3862.205mil","1456.693mil","3862.205mil","1419.291mil","3862.205mil","B","360.00","470k"
"R46","R1206","2732.284mil","1641.732mil","2732.284mil","1641.732mil","2787.402mil","1641.732mil","B","180.00","68k"
"R47","R1206","2795.276mil","1779.527mil","2795.276mil","1779.527mil","2795.276mil","1834.646mil","B","270.00","330"
"R48","R0805","3576.772mil","3590.551mil","3576.772mil","3590.551mil","3539.37mil","3590.551mil","T","0.00","100"
"R49","R1206","3746.063mil","3584.646mil","3746.063mil","3584.646mil","3690.945mil","3584.646mil","T","0.00","10k"
"R51","R1206","3913.386mil","3708.661mil","3913.386mil","3708.661mil","3913.386mil","3653.543mil","T","90.00","2.7k"
"R52","R1206","2035.433mil","1940.945mil","2035.433mil","1940.945mil","2035.433mil","1996.063mil","B","270.00","68k"
"R53","R0805","1889.764mil","3921.26mil","1889.764mil","3921.26mil","1889.764mil","3883.858mil","B","90.00","10k"
"R54","R0805","1996.654mil","4515.353mil","1996.653mil","4515.353mil","1959.252mil","4515.353mil","B","360.00","1M"
"R55","R0805","1976.378mil","3925.198mil","1976.378mil","3925.197mil","1976.378mil","3887.796mil","B","90.00","10k"
"R56","R0805","3956.693mil","4224.41mil","3956.693mil","4224.409mil","3956.693mil","4187.008mil","B","90.00","10k"
"R57","R1206","2195.867mil","2070.866mil","2195.867mil","2070.866mil","2195.867mil","2125.984mil","B","270.00","330"
"R58","R0805","3889.764mil","3484.252mil","3889.764mil","3484.252mil","3889.764mil","3521.654mil","T","270.00","510k"
"R59","R0805","3568.898mil","3500mil","3568.898mil","3500mil","3531.496mil","3500mil","T","0.00","100"
"R60","R1206","3746.063mil","3486.221mil","3746.063mil","3486.221mil","3690.945mil","3486.221mil","T","0.00","10k"
"R61","R0805","3527.559mil","3332.677mil","3527.56mil","3332.677mil","3564.961mil","3332.677mil","T","180.00","1k 0.1%"
"R62","R0805","3408.465mil","3371.064mil","3408.465mil","3371.063mil","3408.465mil","3333.662mil","T","90.00","1k 0.1%"
"R63","R1206","3875mil","3299.213mil","3875mil","3299.213mil","3875mil","3354.331mil","T","270.00","2.7k"
"R64","R0805","3431.103mil","2448.819mil","3431.103mil","2448.819mil","3431.103mil","2486.221mil","T","270.00","1k 0.1%"
"R65","R0805","3316.929mil","3371.063mil","3316.929mil","3371.063mil","3354.331mil","3371.063mil","B","180.00","510"
"R66","R0805","3505.905mil","2448.819mil","3505.905mil","2448.819mil","3505.905mil","2411.417mil","T","90.00","1k 0.1%"
"R67","R1206","3500mil","2055.118mil","3500mil","2055.118mil","3500mil","2110.236mil","T","270.00","2.7k"
"R68","R0805","1472.441mil","3145.67mil","1472.441mil","3145.669mil","1472.441mil","3108.268mil","T","90.00","3k"
"R69","R1206","3616.142mil","2163.386mil","3616.142mil","2163.386mil","3616.142mil","2218.504mil","T","270.00","10k"
"R70","R0805","1149.606mil","3185.039mil","1149.607mil","3185.039mil","1187.008mil","3185.039mil","T","180.00","1k"
"R71","R0805","3418.308mil","3300.197mil","3418.308mil","3300.197mil","3418.308mil","3337.599mil","B","270.00","68k"
"R72","R0805","3616.142mil","2340.551mil","3616.142mil","2340.551mil","3616.142mil","2377.953mil","T","270.00","100"
"R73","R1206","3395.669mil","2702.756mil","3395.669mil","2702.756mil","3450.787mil","2702.756mil","B","180.00","1k"
"R74","R0805","3409.449mil","2070.866mil","3409.449mil","2070.865mil","3409.449mil","2033.464mil","T","90.00","510k"
"R75","R1206","3509.842mil","3037.402mil","3509.842mil","3037.402mil","3564.96mil","3037.402mil","T","180.00","510k"
"R76","R1206","3188.976mil","3377.952mil","3188.976mil","3377.952mil","3188.976mil","3322.834mil","B","90.00","10k"
"R77","R0805","3635.827mil","2832.678mil","3635.827mil","2832.677mil","3635.827mil","2795.276mil","T","90.00","100"
"R78","R1206","3643.701mil","2998.032mil","3643.701mil","2998.032mil","3643.701mil","2942.914mil","T","90.00","10k"
"R79","R1206","3586.614mil","3136.811mil","3586.614mil","3136.811mil","3641.732mil","3136.811mil","T","180.00","2.7k"
"R80","R0805","4094.488mil","4700.787mil","4094.488mil","4700.787mil","4094.488mil","4738.189mil","B","270.00","510"
"R81","R0805","4196.85mil","4259.842mil","4196.85mil","4259.842mil","4234.252mil","4259.842mil","B","180.00","510"
"R82","R0805","3364.173mil","4026.576mil","3364.173mil","4026.575mil","3364.173mil","3989.174mil","B","90.00","510*"
"R83","R0805","2409.449mil","3240.158mil","2409.449mil","3240.157mil","2409.449mil","3202.756mil","T","90.00","10k"
"R84","R0805","3447.835mil","2275.591mil","3447.835mil","2275.591mil","3447.835mil","2238.189mil","B","90.00","510"
"R85","R1206","3818.898mil","2129.921mil","3818.898mil","2129.921mil","3818.898mil","2185.039mil","T","270.00","2.7k"
"R86","R0805","3007.874mil","2681.103mil","3007.874mil","2681.102mil","3007.874mil","2643.701mil","T","90.00","1MO"
"R87","R1206","3725.393mil","2164.37mil","3725.393mil","2164.37mil","3725.393mil","2219.488mil","T","270.00","10k"
"R88","R0805","3718.504mil","2340.551mil","3718.504mil","2340.551mil","3718.504mil","2377.953mil","T","270.00","100"
"R89","R0805","4133.858mil","4834.645mil","4133.858mil","4834.645mil","4171.26mil","4834.645mil","B","180.00","68k"
"R90","R0805","4346.456mil","4259.842mil","4346.457mil","4259.842mil","4383.858mil","4259.842mil","B","180.00","68k"
"R91","R0805","3558.072mil","3971.457mil","3558.072mil","3971.457mil","3558.072mil","3934.055mil","B","90.00","68k"
"R92","R0805","3342.52mil","2137.794mil","3342.52mil","2137.794mil","3305.118mil","2137.794mil","B","360.00","68k"
"R93","R1206","4023.622mil","4489.173mil","4023.622mil","4489.173mil","4023.622mil","4544.291mil","B","270.00","1k"
"R94","R1206","4072.835mil","3704.724mil","4072.835mil","3704.724mil","4072.835mil","3759.843mil","B","270.00","1k"
"R95","R1206","3530.512mil","3466.536mil","3530.512mil","3466.536mil","3530.512mil","3411.418mil","B","90.00","1k"
"R96","R1206","3342.52mil","1692.913mil","3342.52mil","1692.913mil","3342.52mil","1748.031mil","B","270.00","1k"
"R97","R0805","2937.005mil","3192.913mil","2937.005mil","3192.913mil","2937.005mil","3155.511mil","T","90.00","68k"
"R98","R0805","3510.827mil","2641.733mil","3510.827mil","2641.732mil","3510.827mil","2604.331mil","T","90.00","1k 0.1%"
"R99","R0805","2929.133mil","2783.465mil","2929.134mil","2783.465mil","2966.535mil","2783.465mil","T","180.00","0.1"
"R100","R1206","3973.425mil","3393.701mil","3973.425mil","3393.701mil","3973.425mil","3338.583mil","T","90.00","510k"
"R101","R0805","3696.85mil","2011.811mil","3696.85mil","2011.811mil","3734.252mil","2011.811mil","T","180.00","510k"
"R102","R0805","2524.606mil","3261.811mil","2524.606mil","3261.811mil","2562.008mil","3261.811mil","T","180.00","10k"
"R109","R1206","3885.825mil","3114.173mil","3885.825mil","3114.173mil","3830.707mil","3114.173mil","T","360.00","2.7k"
"R103","R0805","3834.646mil","2454.725mil","3834.646mil","2454.724mil","3834.646mil","2417.323mil","T","90.00","1k 0.1%"
"R104","R1206","3746.063mil","3009.843mil","3746.063mil","3009.843mil","3746.063mil","2954.724mil","T","90.00","10k"
"R105","R0805","3744.094mil","2822.835mil","3744.094mil","2822.835mil","3744.094mil","2785.433mil","T","90.00","100"
"R106","R0805","3858.267mil","2694.882mil","3858.267mil","2694.882mil","3858.267mil","2657.48mil","T","90.00","1k 0.1%"
"R107","R0805","3944.882mil","2694.882mil","3944.882mil","2694.882mil","3944.882mil","2732.284mil","T","270.00","1k 0.1%"
"R108","R0805","3940.945mil","2454.725mil","3940.945mil","2454.724mil","3940.945mil","2417.323mil","T","90.00","1k 0.1%"
"R110","R0805","3771.653mil","4074.803mil","3771.653mil","4074.803mil","3809.055mil","4074.803mil","B","180.00","510"
"R111","R0805","3755.905mil","3373.031mil","3755.905mil","3373.031mil","3793.307mil","3373.031mil","B","180.00","510"
"R112","R0805","2982.283mil","2927.165mil","2982.283mil","2927.165mil","2982.283mil","2964.567mil","T","270.00","0.1"
"R115","R0805","2212.598mil","3622.047mil","2212.598mil","3622.047mil","2212.598mil","3659.449mil","B","270.00","1k"
"R116","R0805","3188.976mil","2681.103mil","3188.976mil","2681.102mil","3188.976mil","2643.701mil","B","90.00","1k"
"R117","R0805","2658.465mil","3229.331mil","2658.465mil","3229.331mil","2658.465mil","3191.929mil","T","90.00","68k"
"R118","R0805","3443.898mil","2641.732mil","3443.898mil","2641.732mil","3443.898mil","2679.134mil","T","270.00","1k 0.1%"
"R119","R0805","3921.259mil","4074.803mil","3921.26mil","4074.803mil","3958.661mil","4074.803mil","B","180.00","68k"
"R120","R1206","3635.828mil","3372.047mil","3635.828mil","3372.047mil","3635.828mil","3316.929mil","B","90.00","1k"
"R121","R0805","3888.779mil","3372.047mil","3888.78mil","3372.047mil","3926.181mil","3372.047mil","B","180.00","68k"
"R122","R1206","3618.11mil","2891.732mil","3618.11mil","2891.732mil","3618.11mil","2836.614mil","B","90.00","1k"
"R123","R0805","2868.106mil","3192.912mil","2868.106mil","3192.913mil","2868.106mil","3230.314mil","T","270.00","5.1"
"R124","R0805","3164.37mil","2422.244mil","3164.37mil","2422.244mil","3164.37mil","2384.843mil","B","90.00","68k"
"R125","R1206","3248.031mil","2397.638mil","3248.031mil","2397.638mil","3248.031mil","2452.756mil","B","270.00","1k"
"R126","R1206","2842.52mil","1586.614mil","2842.52mil","1586.614mil","2842.52mil","1531.496mil","T","90.00","0"
"R128","R1206","3027.559mil","2192.913mil","3027.559mil","2192.913mil","2972.441mil","2192.913mil","T","360.00","0"
"R129","R1206","2771.653mil","2423.228mil","2771.653mil","2423.228mil","2826.772mil","2423.228mil","T","180.00","10k"
"R130","R1206","3215.552mil","2269.685mil","3215.552mil","2269.685mil","3270.67mil","2269.685mil","T","180.00","10k"
"R131","R1206","2958.661mil","2423.226mil","2958.661mil","2423.226mil","2903.543mil","2423.226mil","T","360.00","510k"
"R132","R1206","3212.598mil","2181.102mil","3212.598mil","2181.102mil","3157.48mil","2181.102mil","T","360.00","510k"
"R133","R1206","2883.858mil","2322.835mil","2883.858mil","2322.835mil","2938.976mil","2322.835mil","T","180.00","10k"
"R134","R1206","3043.307mil","1976.378mil","3043.307mil","1976.378mil","3098.425mil","1976.378mil","T","180.00","10k"
"R135","R0805","3177.165mil","2858.268mil","3177.165mil","2858.268mil","3214.567mil","2858.268mil","T","180.00","33k"
"R136","R0805","3183.072mil","2956.693mil","3183.071mil","2956.693mil","3145.67mil","2956.693mil","T","360.00","51k"
"R138","R1206","4484.252mil","3863.189mil","4484.252mil","3863.189mil","4484.252mil","3918.307mil","T","270.00","330"
"R141","R0805","3338.582mil","1799.213mil","3338.582mil","1799.213mil","3375.984mil","1799.213mil","T","180.00","5k"
"R142","R1206","3267.716mil","2039.37mil","3267.716mil","2039.37mil","3267.716mil","2094.488mil","T","270.00","100"
"R143","R1206","3143.7mil","2420.275mil","3143.7mil","2420.275mil","3088.582mil","2420.275mil","T","360.00","100"
"R144","R1206","4220.472mil","3614.173mil","4220.472mil","3614.173mil","4220.472mil","3669.291mil","T","270.00","330"
"R145","R1206","4240.158mil","2602.362mil","4240.158mil","2602.362mil","4240.158mil","2657.48mil","T","270.00","330"
"R146","R0805","3437.008mil","1566.929mil","3437.008mil","1566.929mil","3437.008mil","1604.331mil","T","270.00","5k"
"R147","R1206","4240.158mil","2078.74mil","4240.158mil","2078.74mil","4240.158mil","2133.858mil","T","270.00","330"
"R148","R0805","1854.33mil","4023.622mil","1854.33mil","4023.622mil","1854.33mil","3986.22mil","T","90.00","1k"
"R149","R1206","3700.787mil","1539.37mil","3700.787mil","1539.37mil","3645.669mil","1539.37mil","T","360.00","5k"
"R150","R1206","3700.787mil","1744.094mil","3700.787mil","1744.094mil","3645.669mil","1744.094mil","T","360.00","5k"
"R151","R1206","3700.787mil","1846.457mil","3700.787mil","1846.457mil","3645.669mil","1846.457mil","T","360.00","5k"
"R152","R1206","3700.787mil","1645.669mil","3700.787mil","1645.669mil","3645.669mil","1645.669mil","T","360.00","5k"
"R153","R1206","1141.732mil","4110.236mil","1141.732mil","4110.236mil","1141.732mil","4165.354mil","T","270.00","0"
"R154","R1206","3515.748mil","1539.37mil","3515.748mil","1539.37mil","3460.63mil","1539.37mil","B","0.00","1k"
"R155","R1206","3708.661mil","1728.347mil","3708.661mil","1728.347mil","3763.779mil","1728.347mil","B","180.00","5k"
"R156","R1206","3708.661mil","1629.921mil","3708.661mil","1629.921mil","3763.779mil","1629.921mil","B","180.00","5k"
"R157","R1206","3708.662mil","1539.37mil","3708.662mil","1539.37mil","3653.544mil","1539.37mil","B","0.00","1k"
"R158","R1206","3523.622mil","1826.772mil","3523.622mil","1826.772mil","3578.74mil","1826.772mil","B","180.00","1k"
"R159","R1206","3708.661mil","1944.882mil","3708.661mil","1944.882mil","3763.779mil","1944.882mil","B","180.00","5k"
"R160","R1206","3708.661mil","1826.772mil","3708.661mil","1826.772mil","3763.779mil","1826.772mil","B","180.00","5k"
"R161","R1206","3523.622mil","1728.347mil","3523.622mil","1728.347mil","3468.504mil","1728.347mil","B","0.00","1k"
"R163","R1206","3523.622mil","1629.921mil","3523.622mil","1629.921mil","3468.504mil","1629.921mil","B","0.00","1k"
"R162","R1206","3523.622mil","1961.615mil","3523.622mil","1961.615mil","3468.504mil","1961.615mil","B","0.00","1k"
"U1","SO8","2745.078mil","3221.457mil","2745.078mil","3221.457mil","2839.566mil","3296.457mil","B","180.00","SN65HVD230D"
"U2","SOIC24","3905.512mil","4421.26mil","3905.512mil","4421.26mil","3724.41mil","4696.26mil","T","0.00","CJ125"
"U3","SOIC20","1771.653mil","4251.968mil","1771.653mil","4251.968mil","1546.653mil","4431.102mil","B","270.00","TPIC8101"
"U4","TSSOP14","3347.441mil","3539.37mil","3347.441mil","3539.37mil","3238.189mil","3616.142mil","T","270.00","MCP6004T-I/ST"
"U5","LQFP64","2731.3mil","3935.039mil","2731.3mil","3935.039mil","2504.922mil","4082.677mil","T","0.00","STM32F405RGT6"
"U6","DPAK","1228.346mil","3486.22mil","1228.346mil","3622.047mil","1137.795mil","3350.394mil","T","360.00","LP2950CDT-3.3"
"U8","D2PAK-5","1354.331mil","2458.661mil","1354.331mil","2413.386mil","1488.189mil","2661.417mil","T","270.00","LM2576S-5.0"
"U9","TSSOP14","3675.197mil","2576.772mil","3675.197mil","2576.772mil","3598.425mil","2467.52mil","T","360.00","MCP6004T-I/ST"
"U11","SOIC14","4267.716mil","3913.386mil","4267.716mil","3913.386mil","4117.716mil","3818.898mil","T","90.00","74HCT04"
"U12","QSOP16","3177.165mil","1657.48mil","3177.165mil","1657.48mil","3074.803mil","1744.98mil","T","360.00","MAX9926UAEE"
"U13","QFN28","1503.937mil","1893.701mil","1503.937mil","1893.701mil","1408.465mil","1952.756mil","T","0.00","CP2102-GM"
"U14","SO8","1819.189mil","1861.315mil","1819.189mil","1861.315mil","1724.701mil","1936.315mil","T","0.00","ADUM1201ARZ"
"U15","HC-06","1511.811mil","4206.693mil","1511.811mil","4358.268mil","1261.811mil","4594.488mil","T","0.00","HC-06"
"D29","SOT-143","1382.874mil","1594.488mil","1382.874mil","1594.488mil","1335.63mil","1624.015mil","T","270.00","SP0503BAHT"
"Y1","QUARTZ-ABM3B-HC49","2073.818mil","3968.504mil","2073.818mil","3968.504mil","2073.818mil","4064.567mil","T","270.00","ABM3B-8.0MHz"
"Y2","QUARTZ-ABM3B-HC49-2SIDED","2027.559mil","4737.205mil","2027.559mil","4737.205mil","1980.315mil","4658.465mil","T","360.00","ABM3B-8.0MHz"
"D4","SOT-23","2535.433mil","3208.662mil","2535.433mil","3208.662mil","2581.692mil","3246.063mil","B","270.00","NUP2105LT1G"
"U5_2","LQFP100","2718.504mil","3935.039mil","2718.504mil","3935.039mil","2413.386mil","4171.26mil","T","0.00","STM32F469VIT6"
"R114","R1206","2099.409mil","3139.764mil","2099.409mil","3139.764mil","2099.409mil","3084.646mil","B","90.00","100"
"R113","R1206","2099.41mil","2957.674mil","2099.41mil","2957.674mil","2099.41mil","2902.556mil","B","90.00","100"
"L2","L2012","3275.591mil","3834.646mil","3275.591mil","3834.646mil","3236.22mil","3834.646mil","T","0.00","BLM21PG331"
"P32","HDR1X1-BIG2","2153.543mil","1401.575mil","2153.543mil","1401.575mil","2153.543mil","1401.575mil","T","0.00","3"
"R50","R0805","1904.528mil","3837.598mil","1904.528mil","3837.598mil","1867.126mil","3837.598mil","T","360.00","0.1"
"P55","HDR1X1","3007.874mil","3657.48mil","3007.874mil","3657.48mil","3007.874mil","3657.48mil","T","90.00","Reserved1"
"D27","DO-216AA","2448.032mil","3893.701mil","2457.677mil","3893.701mil","2493.504mil","3893.701mil","B","180.00","SM2T3V3A"
"R127","R0805","2450.788mil","4042.323mil","2450.787mil","4042.323mil","2413.386mil","4042.323mil","B","360.00","2k 1%"
"R137","R0805","2442.912mil","3973.425mil","2442.913mil","3973.425mil","2480.314mil","3973.425mil","B","180.00","10k 1%"
"C74","C0805","2252.953mil","4012.795mil","2252.953mil","4012.795mil","2215.551mil","4012.795mil","B","360.00","100n"
"P48","HDR1X1-BIG2","2720.472mil","1249.016mil","2720.472mil","1249.016mil","2720.472mil","1249.016mil","T","0.00","22"
"J5","HDR1x2","4511.811mil","4301.969mil","4511.811mil","4251.969mil","4511.811mil","4251.969mil","T","90.00","WB"

